BrandCode,BrandName,CatalogueCode,CatalogueName,CategoryCode,CategoryName,MainImage,ModelNumber,Offer,ProductName,RatingValue,RegularPrice,SKU,StockAvailability,URL,VendorCode,page,reviews
,,,female,,female-shoes,https://edge.curalate.com/v1/img/KBIMZkB1W_7Ktt0fldq08DnDUJzdwg8ehnm1NoSiQ58=,,0,Skechers Women's Shine T-Shirt | Size 2XL | White | Cotton/Polyester,0,24.0,8158defe-0350-47fa-a079-9fa6aa4b8d85,true,https://www.skechers.com/shine-tee/TS40_WHT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/2GuPMA9eVuQeMZNmvCUR4_W-3pl1rCRupf6ZdMgxWiI=,,0,Skechers Girl's Microspec Max Plus - Echo Sprint Sneaker | Size 12.0 | Navy/Aqua | Textile/Synthetic,0,45.0,658bdad9-2088-4f71-ba26-0e61540a1aba,true,https://www.skechers.com/microspec-max-plus---echo-sprint/303612L_NVAQ.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/B0VpuZ8u8hrqzralphSL00gIQdxqtu6UH8MFqY4XUVI=,,26.99,Skechers Women's Signature Pullover Hoodie | Size XS | Pink | Cotton/Polyester,0,39.0,b7115488-5e29-4fc5-8443-225f49b01dc4,true,https://www.skechers.com/skechers-signature-pullover-hoodie/WHD116_PNK.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/Um8fRX3iiySru5_VlivK9vdWsuvoz0u3Nk1zX2uA7-Q=,,0,Skechers Girl's Miss Desert Hi Sandals | Size 1.0 | Light Denim | Textile/Metal,0,45.0,e9a8f4f6-5a3d-47a0-8607-077b3ee30988,true,https://www.skechers.com/miss-desert-hi/303032L_LTDN.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/AnFXpK1QA8uTiMtZDarVHDw6u8iYe0-i6lCl-FFsi-c=,,0,Skechers Women's SKECHLUXE Restful Hoodigan Top | Size Small | Purple/Aqua | Rayon/Polyester/Spandex,0,49.0,534be67f-1edc-42c6-82dc-f8d116b66608,true,https://www.skechers.com/skechluxe-restful-hoodigan/W03JA82_PRAQ.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/MqZhXZojmqNLlHIDOEGkU6pnd96W8zDxytlsPnItspo=,,0,Skechers Women's Arch Fit Uplift - Laguna Shoes | Size 6.5 | Navy | Textile/Leather | Vegan,0,80.0,1d770ea2-2309-4d83-a967-055074860a60,true,https://www.skechers.com/arch-fit-uplift---laguna/136655_NVY.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/S57TBVd4tbLLwC5tVwTwg8ZUzi88TDeVDOlyIQpUhqM=,,0,Skechers Women's Sport Court Layered Skort | Size Large | White | Polyester/Spandex,0,49.0,f803329f-f7a1-45f8-9e86-7586ff4c2f33,true,https://www.skechers.com/sport-court-layered-skort/SK7_WHT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/Kc3-_dVvJ0amskHbITIu-PLK2LO1Fr6ns_kvtqMYMy8=,,0,Skechers Women's Arch Fit Beverlee - Sweet Lacey Sandals | Size 6.0 | White | Textile/Synthetic | Vegan,0,65.0,9d181ee2-4a62-4658-872d-219b64243e14,true,https://www.skechers.com/arch-fit-beverlee---sweet-lacey/119546_WHT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/IYvsPH37in8RzGCM5DiyuK29w7LXn5EUyectioxOpVw=,,0,Skechers Women's GO DRI Serene V-Neck Top | Size 3XL | Blue/Mint | Polyester/Spandex,0,24.0,c36d8f70-1d53-43fc-a356-f52bdab446d5,true,https://www.skechers.com/go-dri-serene-v-neck-top/TP58_BLMN.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/SRG1Y4TLUMchqfUwUXPwqj0QusuyiE3JHSmQhN_e4gE=,,0,Skechers Women's Slip-ins: GO WALK Flex Sandal - Enticing Sandals | Size 12.0 | Natural | Textile | Vegan | Machine Washable,0,75.0,3d54ff3b-cb97-4653-82e4-d56ce62b346f,true,https://www.skechers.com/skechers-slip-ins-go-walk-flex-sandal---enticing/141482_NAT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/ePht9ExcJaA8ayp-Eby088u-pDQ-YZeRcWhRRs7JAnc=,,0,Skechers Women's Sport Court Dress Top | Size 2XL | White | Nylon/Spandex,0,54.0,932257be-00f7-4a02-933f-662873b7c604,true,https://www.skechers.com/sport-court-dress/DR8_WHT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/9XSeJCMh6BN6MMynhlkHg-3dkgiaLtm6ztETbV_-16M=,,0,Skechers Women's BOBS D'Vine - Doggy Daycare Sneaker | Size 7.5 | White | Textile/Metal | Vegan | Machine Washable,0,55.0,abd8a495-8082-49de-b081-2e03a4b9d889,true,https://www.skechers.com/bobs-dvine---doggy-daycare/114770_WMLT.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/2pUFxbdqUFSiSyq3gBP_pyA2HhG5QeGLfEwVVZdIqeY=,,0,Skechers Women's Commuter Dress Top | Size Medium | Black | Polyester/Spandex,0,44.0,fae70e20-7a1c-47b5-9493-19fbd0815986,true,https://www.skechers.com/skechers-commuter-dress/DR9_BLK.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/J7xggzmXIHBkqtrujLu1ESjEb7Yj_beK2cfyp19HqnU=,,0,Skechers Women's Foamies: Arch Fit Horizon - Make-Believe Sandals | Size 7.0 | Hot Pink | Synthetic | Machine Washable,0,45.0,3bdeedb1-920b-4226-aeca-0a5a5906440b,true,https://www.skechers.com/foamies-arch-fit-horizon---make-believe/111633_HTPK.html,17,0,
,,,female,,female-shoes,https://edge.curalate.com/v1/img/8hJZ287WA_nXKxXcecRPtGtsA0pYxBOMmIKHGgcN7Iw=,,0,Skechers Women's BOBS Flexpadrille 3.0 - Lush Turn Sneaker | Size 10.0 | Navy | Textile | Vegan,0,60.0,009c101a-2dd9-4bbb-ad4f-29feeb25accf,true,https://www.skechers.com/bobs-flexpadrille-3.0---lush-turn/114225_NVY.html,17,0,
